step_idx	elapsed_s	attempted	trigger	planner_rebuilt	previous_path_points	raw_path_points	follow_path_points	status
330	95.412	0	none	0	703	0	703	not_attempted
331	95.686	0	none	0	703	0	703	not_attempted
332	95.979	0	none	0	703	0	703	not_attempted
333	96.262	0	none	0	703	0	703	not_attempted
334	96.565	0	none	0	703	0	703	not_attempted
335	96.849	0	none	0	703	0	703	not_attempted
336	97.151	0	none	0	703	0	703	not_attempted
337	97.426	0	none	0	703	0	703	not_attempted
338	97.738	0	none	0	703	0	703	not_attempted
339	98.008	0	none	0	703	0	703	not_attempted
340	98.284	0	none	0	703	0	703	not_attempted
341	98.554	0	none	0	703	0	703	not_attempted
342	98.825	0	none	0	703	0	703	not_attempted
343	99.105	0	none	0	703	0	703	not_attempted
344	99.383	0	none	0	703	0	703	not_attempted
345	99.673	0	none	0	703	0	703	not_attempted
346	99.954	0	none	0	703	0	703	not_attempted
347	100.247	0	none	0	703	0	703	not_attempted
348	100.560	0	none	0	703	0	703	not_attempted
349	100.835	0	none	0	703	0	703	not_attempted
350	101.108	0	none	0	703	0	703	not_attempted
351	101.382	0	none	0	703	0	703	not_attempted
352	101.665	0	none	0	703	0	703	not_attempted
353	101.943	0	none	0	703	0	703	not_attempted
354	102.216	0	none	0	703	0	703	not_attempted
355	102.502	0	none	0	703	0	703	not_attempted
356	102.773	0	none	0	703	0	703	not_attempted
357	103.046	0	none	0	703	0	703	not_attempted
358	103.323	0	none	0	703	0	703	not_attempted
359	103.600	0	none	0	703	0	703	not_attempted
360	103.870	0	none	0	703	0	703	not_attempted
361	104.160	0	none	0	703	0	703	not_attempted
362	104.451	0	none	0	703	0	703	not_attempted
363	104.743	0	none	0	703	0	703	not_attempted
364	105.033	0	none	0	703	0	703	not_attempted
365	105.313	0	none	0	703	0	703	not_attempted
366	105.587	0	none	0	703	0	703	not_attempted
367	105.861	0	none	0	703	0	703	not_attempted
368	106.134	0	none	0	703	0	703	not_attempted
369	106.427	0	none	0	703	0	703	not_attempted
370	106.702	0	none	0	703	0	703	not_attempted
371	106.977	0	none	0	703	0	703	not_attempted
372	107.266	0	none	0	703	0	703	not_attempted
373	107.563	0	none	0	703	0	703	not_attempted
374	107.883	0	none	0	703	0	703	not_attempted
375	108.213	0	none	0	703	0	703	not_attempted
376	108.486	0	none	0	703	0	703	not_attempted
377	108.762	0	none	0	703	0	703	not_attempted
378	109.040	0	none	0	703	0	703	not_attempted
379	109.314	0	none	0	703	0	703	not_attempted
380	109.584	0	none	0	703	0	703	not_attempted
381	109.858	0	none	0	703	0	703	not_attempted
382	110.133	0	none	0	703	0	703	not_attempted
383	110.429	0	none	0	703	0	703	not_attempted
384	110.704	0	none	0	703	0	703	not_attempted
385	110.975	0	none	0	703	0	703	not_attempted
386	111.254	0	none	0	703	0	703	not_attempted
387	111.615	0	none	0	703	0	703	not_attempted
388	111.903	0	none	0	703	0	703	not_attempted
389	112.200	0	none	0	703	0	703	not_attempted
390	112.486	0	none	0	703	0	703	not_attempted
391	112.802	0	none	0	703	0	703	not_attempted
392	113.159	0	none	0	703	0	703	not_attempted
393	113.441	0	none	0	703	0	703	not_attempted
394	113.724	0	none	0	703	0	703	not_attempted
395	113.995	0	none	0	703	0	703	not_attempted
396	114.279	0	none	0	703	0	703	not_attempted
397	114.574	0	none	0	703	0	703	not_attempted
398	114.886	0	none	0	703	0	703	not_attempted
399	115.168	0	none	0	703	0	703	not_attempted
400	115.462	0	none	0	703	0	703	not_attempted
401	115.774	0	none	0	703	0	703	not_attempted
402	116.064	0	none	0	703	0	703	not_attempted
403	116.337	0	none	0	703	0	703	not_attempted
404	116.610	0	none	0	703	0	703	not_attempted
405	116.884	0	none	0	703	0	703	not_attempted
406	117.158	0	none	0	703	0	703	not_attempted
407	117.431	0	none	0	703	0	703	not_attempted
408	117.706	0	none	0	703	0	703	not_attempted
409	118.001	0	none	0	703	0	703	not_attempted
410	118.276	0	none	0	703	0	703	not_attempted
411	118.570	0	none	0	703	0	703	not_attempted
412	118.858	0	none	0	703	0	703	not_attempted
413	119.135	0	none	0	703	0	703	not_attempted
414	119.410	0	none	0	703	0	703	not_attempted
415	119.685	0	none	0	703	0	703	not_attempted
416	119.956	0	none	0	703	0	703	not_attempted
417	120.236	0	none	0	703	0	703	not_attempted
418	120.518	0	none	0	703	0	703	not_attempted
419	120.816	0	none	0	703	0	703	not_attempted
420	121.091	0	none	0	703	0	703	not_attempted
421	121.368	0	none	0	703	0	703	not_attempted
422	121.683	0	none	0	703	0	703	not_attempted
423	121.961	0	none	0	703	0	703	not_attempted
424	122.239	0	none	0	703	0	703	not_attempted
425	122.510	0	none	0	703	0	703	not_attempted
426	122.785	0	none	0	703	0	703	not_attempted
427	123.062	0	none	0	703	0	703	not_attempted
428	123.355	0	none	0	703	0	703	not_attempted
429	123.647	0	none	0	703	0	703	not_attempted
430	123.928	0	none	0	703	0	703	not_attempted
431	124.209	0	none	0	703	0	703	not_attempted
432	124.499	0	none	0	703	0	703	not_attempted
433	124.776	0	none	0	703	0	703	not_attempted
434	125.051	0	none	0	703	0	703	not_attempted
435	125.325	0	none	0	703	0	703	not_attempted
436	125.604	0	none	0	703	0	703	not_attempted
437	125.879	0	none	0	703	0	703	not_attempted
438	126.154	0	none	0	703	0	703	not_attempted
439	126.442	0	none	0	703	0	703	not_attempted
440	126.724	0	none	0	703	0	703	not_attempted
441	126.994	0	none	0	703	0	703	not_attempted
442	127.269	0	none	0	703	0	703	not_attempted
443	127.552	0	none	0	703	0	703	not_attempted
444	127.824	0	none	0	703	0	703	not_attempted
445	128.122	0	none	0	703	0	703	not_attempted
446	128.398	0	none	0	703	0	703	not_attempted
447	128.670	0	none	0	703	0	703	not_attempted
448	128.943	0	none	0	703	0	703	not_attempted
449	129.236	0	none	0	703	0	703	not_attempted
450	129.523	0	none	0	703	0	703	not_attempted
451	129.795	0	none	0	703	0	703	not_attempted
452	130.074	0	none	0	703	0	703	not_attempted
453	130.354	0	none	0	703	0	703	not_attempted
454	130.688	0	none	0	703	0	703	not_attempted
455	130.965	0	none	0	703	0	703	not_attempted
456	131.267	0	none	0	703	0	703	not_attempted
457	131.612	0	none	0	703	0	703	not_attempted
458	131.938	0	none	0	703	0	703	not_attempted
459	132.234	0	none	0	703	0	703	not_attempted
460	132.581	0	none	0	703	0	703	not_attempted
461	132.858	0	none	0	703	0	703	not_attempted
462	133.164	0	none	0	703	0	703	not_attempted
463	133.456	0	none	0	703	0	703	not_attempted
464	133.756	0	none	0	703	0	703	not_attempted
465	134.040	0	none	0	703	0	703	not_attempted
466	134.347	0	none	0	703	0	703	not_attempted
467	134.656	0	none	0	703	0	703	not_attempted
468	134.983	0	none	0	703	0	703	not_attempted
469	135.259	0	none	0	703	0	703	not_attempted
470	135.549	0	none	0	703	0	703	not_attempted
471	135.837	0	none	0	703	0	703	not_attempted
472	136.116	0	none	0	703	0	703	not_attempted
473	136.389	0	none	0	703	0	703	not_attempted
474	136.663	0	none	0	703	0	703	not_attempted
475	136.943	0	none	0	703	0	703	not_attempted
476	137.226	0	none	0	703	0	703	not_attempted
477	137.496	0	none	0	703	0	703	not_attempted
478	137.770	0	none	0	703	0	703	not_attempted
479	138.047	0	none	0	703	0	703	not_attempted
480	138.321	0	none	0	703	0	703	not_attempted
481	138.638	0	none	0	703	0	703	not_attempted
482	138.915	0	none	0	703	0	703	not_attempted
483	139.199	0	none	0	703	0	703	not_attempted
484	139.480	0	none	0	703	0	703	not_attempted
485	139.755	0	none	0	703	0	703	not_attempted
486	140.047	0	none	0	703	0	703	not_attempted
487	140.346	0	none	0	703	0	703	not_attempted
488	140.627	0	none	0	703	0	703	not_attempted
489	140.903	0	none	0	703	0	703	not_attempted
490	141.176	0	none	0	703	0	703	not_attempted
491	141.477	0	none	0	703	0	703	not_attempted
492	141.789	0	none	0	703	0	703	not_attempted
493	142.070	0	none	0	703	0	703	not_attempted
494	142.361	0	none	0	703	0	703	not_attempted
495	142.645	0	none	0	703	0	703	not_attempted
496	142.917	0	none	0	703	0	703	not_attempted
497	143.201	0	none	0	703	0	703	not_attempted
498	143.475	0	none	0	703	0	703	not_attempted
499	143.750	0	none	0	703	0	703	not_attempted
500	144.024	0	none	0	703	0	703	not_attempted
501	144.309	0	none	0	703	0	703	not_attempted
502	144.584	0	none	0	703	0	703	not_attempted
503	144.863	0	none	0	703	0	703	not_attempted
504	145.144	0	none	0	703	0	703	not_attempted
505	145.423	0	none	0	703	0	703	not_attempted
506	145.697	0	none	0	703	0	703	not_attempted
507	145.971	0	none	0	703	0	703	not_attempted
508	146.245	0	none	0	703	0	703	not_attempted
509	146.517	0	none	0	703	0	703	not_attempted
510	146.832	0	none	0	703	0	703	not_attempted
