timestep,x_cm,y_cm,z_cm,yaw_deg,basis_xx,basis_xy,basis_xz,basis_yx,basis_yy,basis_yz,basis_zx,basis_zy,basis_zz,teleport_flag
43,210.009800,1020.019500,49.994000,-113.400009,-0.397148,0.917755,0.000000,-0.917755,-0.397148,0.000000,0.000000,0.000000,1.000000,0
44,210.009800,1020.019500,49.994000,-113.400009,-0.397148,0.917755,0.000000,-0.917755,-0.397148,0.000000,0.000000,0.000000,1.000000,0
45,210.009800,1020.019500,49.994000,-113.400009,-0.397148,0.917755,0.000000,-0.917755,-0.397148,0.000000,0.000000,0.000000,1.000000,0
46,210.009800,1020.019500,49.994000,-113.400009,-0.397148,0.917755,0.000000,-0.917755,-0.397148,0.000000,0.000000,0.000000,1.000000,0
47,189.990200,990.039000,59.991600,-116.500000,-0.446198,0.894934,0.000000,-0.894934,-0.446198,0.000000,0.000000,0.000000,1.000000,0
48,189.990200,990.039000,59.991600,-116.500000,-0.446198,0.894934,0.000000,-0.894934,-0.446198,0.000000,0.000000,0.000000,1.000000,0
49,189.990200,990.039000,59.991600,-116.500000,-0.446198,0.894934,0.000000,-0.894934,-0.446198,0.000000,0.000000,0.000000,1.000000,0
50,189.990200,990.039000,59.991600,-116.500000,-0.446198,0.894934,0.000000,-0.894934,-0.446198,0.000000,0.000000,0.000000,1.000000,0
51,160.009800,960.058500,59.991600,-119.199997,-0.487860,0.872922,0.000000,-0.872922,-0.487860,0.000000,0.000000,0.000000,1.000000,0
52,160.009800,960.058500,59.991600,-119.199997,-0.487860,0.872922,0.000000,-0.872922,-0.487860,0.000000,0.000000,0.000000,1.000000,0
53,160.009800,960.058500,59.991600,-119.199997,-0.487860,0.872922,0.000000,-0.872922,-0.487860,0.000000,0.000000,0.000000,1.000000,0
54,160.009800,960.058500,59.991600,-119.199997,-0.487860,0.872922,0.000000,-0.872922,-0.487860,0.000000,0.000000,0.000000,1.000000,0
55,139.990200,920.019500,59.991600,-121.900009,-0.528438,0.848972,0.000000,-0.848972,-0.528438,0.000000,0.000000,0.000000,1.000000,0
56,139.990200,920.019500,59.991600,-121.900009,-0.528438,0.848972,0.000000,-0.848972,-0.528438,0.000000,0.000000,0.000000,1.000000,0
57,139.990200,920.019500,59.991600,-121.900009,-0.528438,0.848972,0.000000,-0.848972,-0.528438,0.000000,0.000000,0.000000,1.000000,0
58,100.000000,879.980400,59.991600,-124.500000,-0.566406,0.824126,0.000000,-0.824126,-0.566406,0.000000,0.000000,0.000000,1.000000,0
59,100.000000,879.980400,59.991600,-124.500000,-0.566406,0.824126,0.000000,-0.824126,-0.566406,0.000000,0.000000,0.000000,1.000000,0
60,100.000000,879.980400,59.991600,-124.500000,-0.566406,0.824126,0.000000,-0.824126,-0.566406,0.000000,0.000000,0.000000,1.000000,0
61,100.000000,879.980400,59.991600,-124.500000,-0.566406,0.824126,0.000000,-0.824126,-0.566406,0.000000,0.000000,0.000000,1.000000,0
62,69.970700,840.039000,70.001300,-126.800003,-0.599024,0.800731,0.000000,-0.800731,-0.599024,0.000000,0.000000,0.000000,1.000000,0
