step_idx	elapsed_s	status	reverse_active	path_reverse_active	stuck_detection_armed	planner_rebuilt	replan_attempted	raw_path_points	follow_path_points	active_path_points	raw_rover_x	raw_rover_y	raw_rover_z	raw_heading_deg	rover_x_cm	rover_y_cm	rover_z_cm	rover_heading_deg	raw_pose_delta	pose_delta_cm	telemetry_throttle	telemetry_steering	telemetry_speed	telemetry_brakes	telemetry_distance_traveled	distance_traveled_delta	moved_since_anchor_cm	stationary_elapsed_s	goal_x_cm	goal_y_cm	goal_dist_cm	target_x_cm	target_y_cm	rover_cell_x	rover_cell_y	target_cell_x	target_cell_y	waypoint_idx	waypoint_distance_cm	waypoint_distance_avg_cm	path_heading_error_deg	throttle_cmd	steering_cmd	new_lidar_obstacles	stuck_obstacles_added	obstacle_total
20	6.049	Running	0	0	1	0	0	0	649	640	-5664.100	-10080.300	1440.400	183.400	289.990	1160.058	39.996	-93.400	0.000	0.000	18.000	1.000	1.000	0	11.200	0.000	0.000	0.000	-3700.000	-2820.020	5635.694	-63.563	816.417	103	103	96	96	58	493.041	450.533	-45.150	18.000	-1.000	0	0	0
21	6.355	Running	0	0	1	0	0	0	649	640	-5664.100	-10080.300	1440.400	183.400	289.990	1160.058	39.996	-93.400	0.000	0.000	18.000	1.000	1.000	0	11.200	0.000	0.000	0.000	-3700.000	-2820.020	5635.694	-63.563	816.417	103	103	96	96	58	493.041	452.466	-45.150	18.000	-1.000	0	0	0
22	6.634	Running	0	0	1	0	0	0	649	639	-5664.100	-10080.500	1440.400	185.100	289.990	1140.039	39.996	-95.100	0.200	20.019	18.000	1.000	1.200	0	11.300	0.100	20.019	0.000	-3700.000	-2820.020	5621.573	-63.563	816.417	103	103	96	96	57	479.303	453.632	-51.987	18.000	-1.000	0	0	0
23	6.903	Running	0	0	1	0	0	0	649	639	-5664.100	-10080.500	1440.400	185.100	289.990	1140.039	39.996	-95.100	0.000	0.000	18.000	1.000	1.200	0	11.300	0.000	0.000	0.000	-3700.000	-2820.020	5621.573	-63.563	816.417	103	103	96	96	57	479.303	454.702	-51.987	18.000	-1.000	0	0	0
24	7.178	Running	0	0	1	0	0	0	649	639	-5664.100	-10080.500	1440.400	185.100	289.990	1140.039	39.996	-95.100	0.000	0.000	18.000	1.000	1.200	0	11.300	0.000	0.000	0.000	-3700.000	-2820.020	5621.573	-63.563	816.417	103	103	96	96	57	479.303	455.686	-51.987	18.000	-1.000	0	0	0
25	7.456	Running	0	0	1	0	0	0	649	637	-5664.200	-10080.601	1440.500	187.300	279.980	1129.980	49.994	-97.300	0.174	17.359	18.000	1.000	1.500	0	11.500	0.200	14.190	0.000	-3700.000	-2820.020	5607.383	-73.573	806.408	103	103	96	96	56	479.270	456.593	-49.810	18.000	-1.000	0	0	0
26	7.726	Running	0	0	1	0	0	0	649	637	-5664.200	-10080.601	1440.500	187.300	279.980	1129.980	49.994	-97.300	0.000	0.000	18.000	1.000	1.500	0	11.500	0.000	0.000	0.000	-3700.000	-2820.020	5607.383	-73.573	806.408	103	103	96	96	56	479.270	457.433	-49.810	18.000	-1.000	0	0	0
27	7.999	Running	0	0	1	0	0	0	649	637	-5664.200	-10080.601	1440.500	187.300	279.980	1129.980	49.994	-97.300	0.000	0.000	18.000	1.000	1.500	0	11.500	0.000	0.000	0.000	-3700.000	-2820.020	5607.383	-73.573	806.408	103	103	96	96	56	479.270	458.213	-49.810	18.000	-1.000	0	0	0
28	8.284	Running	0	0	1	0	0	0	649	635	-5664.300	-10080.800	1440.500	189.700	269.971	1110.058	49.994	-99.700	0.223	22.295	18.000	1.000	1.700	0	11.700	0.200	22.295	0.000	-3700.000	-2820.020	5586.249	-83.583	796.398	103	102	96	96	56	472.634	458.710	-52.383	18.000	-1.000	0	0	0
29	8.610	Running	0	0	1	0	0	0	649	635	-5664.300	-10080.800	1440.500	189.700	269.971	1110.058	49.994	-99.700	0.000	0.000	18.000	1.000	1.700	0	11.700	0.000	0.000	0.000	-3700.000	-2820.020	5586.249	-83.583	796.398	103	102	96	96	56	472.634	459.174	-52.383	18.000	-1.000	0	0	0
30	8.928	Running	0	0	1	0	0	0	649	635	-5664.300	-10080.800	1440.500	189.700	269.971	1110.058	49.994	-99.700	0.000	0.000	18.000	1.000	1.700	0	11.700	0.000	0.000	0.000	-3700.000	-2820.020	5586.249	-83.583	796.398	103	102	96	96	56	472.634	459.608	-52.383	18.000	-1.000	0	0	0
31	9.200	Running	0	0	1	0	0	0	649	635	-5664.300	-10080.800	1440.500	189.700	269.971	1110.058	49.994	-99.700	0.000	0.000	18.000	1.000	1.700	0	11.700	0.000	0.000	0.000	-3700.000	-2820.020	5586.249	-83.583	796.398	103	102	96	96	56	472.634	460.015	-52.383	18.000	-1.000	0	0	0
32	9.476	Running	0	0	1	0	0	0	649	632	-5664.400	-10081.000	1440.500	192.600	260.010	1090.039	49.994	-102.600	0.224	22.361	18.000	1.000	1.900	0	11.900	0.200	22.361	0.000	-3700.000	-2820.020	5565.091	-93.544	786.437	103	102	96	96	54	466.020	460.197	-55.042	18.000	-1.000	0	0	0
33	9.748	Running	0	0	1	0	0	0	649	632	-5664.400	-10081.000	1440.500	192.600	260.010	1090.039	49.994	-102.600	0.000	0.000	18.000	1.000	1.900	0	11.900	0.000	0.000	0.000	-3700.000	-2820.020	5565.091	-93.544	786.437	103	102	96	96	54	466.020	460.369	-55.042	18.000	-1.000	0	0	0
34	10.020	Running	0	0	1	0	0	0	649	632	-5664.400	-10081.000	1440.500	192.600	260.010	1090.039	49.994	-102.600	0.000	0.000	18.000	1.000	1.900	0	11.900	0.000	0.000	0.000	-3700.000	-2820.020	5565.091	-93.544	786.437	103	102	96	96	54	466.020	460.530	-55.042	18.000	-1.000	0	0	0
35	10.299	Running	0	0	1	0	0	0	649	632	-5664.400	-10081.000	1440.500	192.600	260.010	1090.039	49.994	-102.600	0.000	0.000	18.000	1.000	1.900	0	11.900	0.000	0.000	0.000	-3700.000	-2820.020	5565.091	-93.544	786.437	103	102	96	96	54	466.020	460.683	-55.042	18.000	-1.000	0	0	0
36	10.569	Running	0	0	1	0	0	0	649	630	-5664.500	-10081.200	1440.500	196.000	250.000	1070.020	49.994	-106.000	0.224	22.383	18.000	1.000	2.100	0	12.200	0.300	22.383	0.000	-3700.000	-2820.020	5543.907	-103.553	776.427	103	101	95	95	54	459.561	460.652	-57.651	18.000	-0.980	0	0	0
37	10.843	Running	0	0	1	0	0	0	649	630	-5664.500	-10081.200	1440.500	196.000	250.000	1070.020	49.994	-106.000	0.000	0.000	18.000	0.980	2.100	0	12.200	0.000	0.000	0.000	-3700.000	-2820.020	5543.907	-103.553	776.427	103	101	95	95	54	459.561	460.624	-57.651	18.000	-0.980	0	0	0
38	11.112	Running	0	0	1	0	0	0	649	630	-5664.500	-10081.200	1440.500	196.000	250.000	1070.020	49.994	-106.000	0.000	0.000	18.000	0.980	2.100	0	12.200	0.000	0.000	0.000	-3700.000	-2820.020	5543.907	-103.553	776.427	103	101	95	95	54	459.561	460.596	-57.651	18.000	-0.980	0	0	0
39	11.385	Running	0	0	1	0	0	0	649	626	-5664.700	-10081.500	1440.500	199.700	229.980	1040.039	49.994	-109.700	0.361	36.050	18.000	0.980	2.300	0	12.500	0.300	36.050	0.000	-3700.000	-2820.020	5508.611	-123.573	756.408	102	101	95	95	53	453.262	460.413	-60.320	18.000	-0.902	0	0	0
40	11.686	Running	0	0	1	0	0	0	649	626	-5664.700	-10081.500	1440.500	199.700	229.980	1040.039	49.994	-109.700	0.000	0.000	18.000	0.902	2.300	0	12.500	0.000	0.000	0.000	-3700.000	-2820.020	5508.611	-123.573	756.408	102	101	95	95	53	453.262	460.239	-60.320	18.000	-0.902	0	0	0
41	11.959	Running	0	0	1	0	0	0	649	626	-5664.700	-10081.500	1440.500	199.700	229.980	1040.039	49.994	-109.700	0.000	0.000	18.000	0.902	2.300	0	12.500	0.000	0.000	0.000	-3700.000	-2820.020	5508.611	-123.573	756.408	102	101	95	95	53	453.262	460.073	-60.320	18.000	-0.902	0	0	0
42	12.227	Running	0	0	1	0	0	0	649	623	-5664.900	-10081.700	1440.500	203.400	210.010	1020.020	49.994	-113.400	0.283	28.277	18.000	0.902	2.500	0	12.800	0.300	28.277	0.000	-3700.000	-2820.020	5480.335	-143.544	736.437	102	100	95	95	53	453.232	459.913	-56.652	20.000	-0.796	0	0	0
43	12.532	Running	0	0	1	0	0	0	649	623	-5664.900	-10081.700	1440.500	203.400	210.010	1020.020	49.994	-113.400	0.000	0.000	20.000	0.796	2.500	0	12.800	0.000	0.000	0.000	-3700.000	-2820.020	5480.335	-143.544	736.437	102	100	95	95	53	453.232	459.762	-56.652	20.000	-0.796	0	0	0
44	12.818	Running	0	0	1	0	0	0	649	623	-5664.900	-10081.700	1440.500	203.400	210.010	1020.020	49.994	-113.400	0.000	0.000	20.000	0.796	2.500	0	12.800	0.000	0.000	0.000	-3700.000	-2820.020	5480.335	-143.544	736.437	102	100	95	95	53	453.232	459.616	-56.652	20.000	-0.796	0	0	0
45	13.086	Running	0	0	1	0	0	0	649	623	-5664.900	-10081.700	1440.500	203.400	210.010	1020.020	49.994	-113.400	0.000	0.000	20.000	0.796	2.500	0	12.800	0.000	0.000	0.000	-3700.000	-2820.020	5480.335	-143.544	736.437	102	100	95	95	53	453.232	459.478	-56.652	20.000	-0.796	0	0	0
46	13.359	Running	0	0	1	0	0	0	649	619	-5665.100	-10082.000	1440.600	206.500	189.990	990.039	59.992	-116.500	0.374	37.411	20.000	0.796	2.900	0	13.200	0.400	36.050	0.000	-3700.000	-2820.020	5445.050	-163.563	716.417	101	100	94	94	53	447.067	459.214	-60.181	20.000	-0.736	0	0	0
47	13.635	Running	0	0	1	0	0	0	649	619	-5665.100	-10082.000	1440.600	206.500	189.990	990.039	59.992	-116.500	0.000	0.000	20.000	0.736	2.900	0	13.200	0.000	0.000	0.000	-3700.000	-2820.020	5445.050	-163.563	716.417	101	100	94	94	53	447.067	458.961	-60.181	20.000	-0.736	0	0	0
48	13.907	Running	0	0	1	0	0	0	649	619	-5665.100	-10082.000	1440.600	206.500	189.990	990.039	59.992	-116.500	0.000	0.000	20.000	0.736	2.900	0	13.200	0.000	0.000	0.000	-3700.000	-2820.020	5445.050	-163.563	716.417	101	100	94	94	53	447.067	458.718	-60.181	20.000	-0.736	0	0	0
49	14.177	Running	0	0	1	0	0	0	649	619	-5665.100	-10082.000	1440.600	206.500	189.990	990.039	59.992	-116.500	0.000	0.000	20.000	0.736	2.900	0	13.200	0.000	0.000	0.000	-3700.000	-2820.020	5445.050	-163.563	716.417	101	100	94	94	53	447.067	458.485	-60.181	20.000	-0.736	0	0	0
50	14.450	Running	0	0	1	0	0	0	649	614	-5665.400	-10082.300	1440.600	209.200	160.010	960.058	59.992	-119.200	0.424	42.399	20.000	0.736	3.300	0	13.600	0.400	42.399	0.000	-3700.000	-2820.020	5402.654	-193.544	686.437	101	99	94	94	52	447.067	458.261	-57.481	20.000	-0.659	0	0	0
51	14.729	Running	0	0	1	0	0	0	649	614	-5665.400	-10082.300	1440.600	209.200	160.010	960.058	59.992	-119.200	0.000	0.000	20.000	0.659	3.300	0	13.600	0.000	0.000	0.000	-3700.000	-2820.020	5402.654	-193.544	686.437	101	99	94	94	52	447.067	458.046	-57.481	20.000	-0.659	0	0	0
