step_idx	elapsed_s	stuck_x_cm	stuck_y_cm	stuck_z_cm	hist_x_cm	hist_y_cm	hist_z_cm	hist_heading_deg	dist_from_stuck_cm	contact_side	contact_min_lidar_cm	bumper_sample_idx	bumper_lateral_offset_cm	obstacle_x_cm	obstacle_y_cm	obstacle_cell_x	obstacle_cell_y	placed
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-99.400	14.122	front	0.000	2	-53.333	82.647	319.084	99	86	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-99.400	14.122	front	0.000	3	0.000	135.264	310.373	100	86	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-99.400	14.122	front	0.000	4	53.333	187.881	301.662	101	86	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-99.400	14.122	front	0.000	5	106.667	240.498	292.951	102	86	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-99.400	14.122	front	0.000	6	160.000	293.115	284.241	103	86	0
225	69.377	179.980	510.058	79.999	179.980	520.020	79.999	-99.500	9.961	front	0.000	0	-160.000	-12.898	336.841	97	87	0
225	69.377	179.980	510.058	79.999	179.980	520.020	79.999	-99.500	9.961	front	0.000	1	-106.667	39.704	328.039	98	86	0
225	69.377	179.980	510.058	79.999	179.980	520.020	79.999	-99.500	9.961	front	0.000	2	-53.333	92.306	319.236	99	86	0
225	69.377	179.980	510.058	79.999	179.980	520.020	79.999	-99.500	9.961	front	0.000	3	0.000	144.908	310.434	100	86	0
225	69.377	179.980	510.058	79.999	179.980	520.020	79.999	-99.500	9.961	front	0.000	4	53.333	197.510	301.631	101	86	0
225	69.377	179.980	510.058	79.999	179.980	520.020	79.999	-99.500	9.961	front	0.000	5	106.667	250.112	292.829	103	86	0
225	69.377	179.980	510.058	79.999	179.980	520.020	79.999	-99.500	9.961	front	0.000	6	160.000	302.714	284.026	104	86	1
225	69.377	179.980	510.058	79.999	179.980	520.020	79.999	-99.500	9.961	front	0.000	0	-160.000	-12.898	336.841	97	87	0
225	69.377	179.980	510.058	79.999	179.980	520.020	79.999	-99.500	9.961	front	0.000	1	-106.667	39.704	328.039	98	86	0
225	69.377	179.980	510.058	79.999	179.980	520.020	79.999	-99.500	9.961	front	0.000	2	-53.333	92.306	319.236	99	86	0
225	69.377	179.980	510.058	79.999	179.980	520.020	79.999	-99.500	9.961	front	0.000	3	0.000	144.908	310.434	100	86	0
225	69.377	179.980	510.058	79.999	179.980	520.020	79.999	-99.500	9.961	front	0.000	4	53.333	197.510	301.631	101	86	0
225	69.377	179.980	510.058	79.999	179.980	520.020	79.999	-99.500	9.961	front	0.000	5	106.667	250.112	292.829	103	86	0
225	69.377	179.980	510.058	79.999	179.980	520.020	79.999	-99.500	9.961	front	0.000	6	160.000	302.714	284.026	104	86	0
225	69.377	179.980	510.058	79.999	179.980	520.020	79.999	-99.500	9.961	front	0.000	0	-160.000	-12.898	336.841	97	87	0
