sample_idx,sensor_idx,distance_cm,x_cm,y_cm,z_cm,pose_x_cm,pose_y_cm,pose_z_cm,heading_deg
14,10,290.140015,1291.499878,-138.297836,20.001301,1719.970703,-579.980530,20.001301,-38.400009
14,11,285.190002,1214.629883,-243.252670,20.001301,1719.970703,-579.980530,20.001301,-38.400009
14,12,692.030029,726.169617,-634.250305,20.001301,1719.970703,-579.980530,20.001301,-38.400009
15,1,567.590027,2527.349854,-891.431274,-174.125916,1719.970703,-579.980530,20.001301,-38.400009
15,3,533.789978,2190.915527,-1267.855591,-162.565628,1719.970703,-579.980530,20.001301,-38.400009
15,5,441.630005,2334.932617,-971.692688,-166.639603,1719.970703,-579.980530,20.001301,-38.400009
15,6,435.559998,2237.448975,-1085.829590,-164.074310,1719.970703,-579.980530,20.001301,-38.400009
15,7,407.329987,2135.041748,-120.688103,-119.313759,1719.970703,-579.980530,20.001301,-38.400009
15,8,401.769989,1370.840332,-1084.870117,-117.412132,1719.970703,-579.980530,20.001301,-38.400009
15,9,684.679993,1581.512695,435.859100,20.001301,1719.970703,-579.980530,20.001301,-38.400009
15,10,290.140015,1291.499878,-138.297836,20.001301,1719.970703,-579.980530,20.001301,-38.400009
15,11,285.190002,1214.629883,-243.252670,20.001301,1719.970703,-579.980530,20.001301,-38.400009
15,12,692.030029,726.169617,-634.250305,20.001301,1719.970703,-579.980530,20.001301,-38.400009
16,1,567.590027,2527.349854,-891.431274,-174.125916,1719.970703,-579.980530,20.001301,-38.400009
16,3,533.789978,2190.915527,-1267.855591,-162.565628,1719.970703,-579.980530,20.001301,-38.400009
16,5,441.630005,2334.932617,-971.692688,-166.639603,1719.970703,-579.980530,20.001301,-38.400009
16,6,435.559998,2237.448975,-1085.829590,-164.074310,1719.970703,-579.980530,20.001301,-38.400009
16,7,407.329987,2135.041748,-120.688103,-119.313759,1719.970703,-579.980530,20.001301,-38.400009
16,8,401.769989,1370.840332,-1084.870117,-117.412132,1719.970703,-579.980530,20.001301,-38.400009
16,9,684.679993,1581.512695,435.859100,20.001301,1719.970703,-579.980530,20.001301,-38.400009
16,10,290.140015,1291.499878,-138.297836,20.001301,1719.970703,-579.980530,20.001301,-38.400009
16,11,285.190002,1214.629883,-243.252670,20.001301,1719.970703,-579.980530,20.001301,-38.400009
16,12,692.030029,726.169617,-634.250305,20.001301,1719.970703,-579.980530,20.001301,-38.400009
17,1,567.590027,2527.349854,-891.431274,-174.125916,1719.970703,-579.980530,20.001301,-38.400009
17,3,533.789978,2190.915527,-1267.855591,-162.565628,1719.970703,-579.980530,20.001301,-38.400009
17,5,441.630005,2334.932617,-971.692688,-166.639603,1719.970703,-579.980530,20.001301,-38.400009
17,6,435.559998,2237.448975,-1085.829590,-164.074310,1719.970703,-579.980530,20.001301,-38.400009
17,7,407.329987,2135.041748,-120.688103,-119.313759,1719.970703,-579.980530,20.001301,-38.400009
17,8,401.769989,1370.840332,-1084.870117,-117.412132,1719.970703,-579.980530,20.001301,-38.400009
17,9,684.679993,1581.512695,435.859100,20.001301,1719.970703,-579.980530,20.001301,-38.400009
17,10,290.140015,1291.499878,-138.297836,20.001301,1719.970703,-579.980530,20.001301,-38.400009
17,11,285.190002,1214.629883,-243.252670,20.001301,1719.970703,-579.980530,20.001301,-38.400009
17,12,692.030029,726.169617,-634.250305,20.001301,1719.970703,-579.980530,20.001301,-38.400009
18,1,567.590027,2527.349854,-891.431274,-174.125916,1719.970703,-579.980530,20.001301,-38.400009
18,3,533.789978,2190.915527,-1267.855591,-162.565628,1719.970703,-579.980530,20.001301,-38.400009
18,5,441.630005,2334.932617,-971.692688,-166.639603,1719.970703,-579.980530,20.001301,-38.400009
18,6,435.559998,2237.448975,-1085.829590,-164.074310,1719.970703,-579.980530,20.001301,-38.400009
18,7,407.329987,2135.041748,-120.688103,-119.313759,1719.970703,-579.980530,20.001301,-38.400009
18,8,401.769989,1370.840332,-1084.870117,-117.412132,1719.970703,-579.980530,20.001301,-38.400009
18,9,684.679993,1581.512695,435.859100,20.001301,1719.970703,-579.980530,20.001301,-38.400009
18,10,290.140015,1291.499878,-138.297836,20.001301,1719.970703,-579.980530,20.001301,-38.400009
18,11,285.190002,1214.629883,-243.252670,20.001301,1719.970703,-579.980530,20.001301,-38.400009
18,12,692.030029,726.169617,-634.250305,20.001301,1719.970703,-579.980530,20.001301,-38.400009
19,1,567.590027,2527.349854,-891.431274,-174.125916,1719.970703,-579.980530,20.001301,-38.400009
19,3,533.789978,2190.915527,-1267.855591,-162.565628,1719.970703,-579.980530,20.001301,-38.400009
19,5,441.630005,2334.932617,-971.692688,-166.639603,1719.970703,-579.980530,20.001301,-38.400009
19,6,435.559998,2237.448975,-1085.829590,-164.074310,1719.970703,-579.980530,20.001301,-38.400009
19,7,407.329987,2135.041748,-120.688103,-119.313759,1719.970703,-579.980530,20.001301,-38.400009
19,8,401.769989,1370.840332,-1084.870117,-117.412132,1719.970703,-579.980530,20.001301,-38.400009
19,9,684.679993,1581.512695,435.859100,20.001301,1719.970703,-579.980530,20.001301,-38.400009
19,10,290.140015,1291.499878,-138.297836,20.001301,1719.970703,-579.980530,20.001301,-38.400009
19,11,285.190002,1214.629883,-243.252670,20.001301,1719.970703,-579.980530,20.001301,-38.400009
19,12,692.030029,726.169617,-634.250305,20.001301,1719.970703,-579.980530,20.001301,-38.400009
20,1,567.590027,2527.349854,-891.431274,-174.125916,1719.970703,-579.980530,20.001301,-38.400009
20,3,533.789978,2190.915527,-1267.855591,-162.565628,1719.970703,-579.980530,20.001301,-38.400009
20,5,441.630005,2334.932617,-971.692688,-166.639603,1719.970703,-579.980530,20.001301,-38.400009
20,6,435.559998,2237.448975,-1085.829590,-164.074310,1719.970703,-579.980530,20.001301,-38.400009
20,7,407.329987,2135.041748,-120.688103,-119.313759,1719.970703,-579.980530,20.001301,-38.400009
20,8,401.769989,1370.840332,-1084.870117,-117.412132,1719.970703,-579.980530,20.001301,-38.400009
20,9,684.679993,1581.512695,435.859100,20.001301,1719.970703,-579.980530,20.001301,-38.400009
20,10,290.140015,1291.499878,-138.297836,20.001301,1719.970703,-579.980530,20.001301,-38.400009
20,11,285.190002,1214.629883,-243.252670,20.001301,1719.970703,-579.980530,20.001301,-38.400009
20,12,692.030029,726.169617,-634.250305,20.001301,1719.970703,-579.980530,20.001301,-38.400009
21,1,567.590027,2527.349854,-891.431274,-174.125916,1719.970703,-579.980530,20.001301,-38.400009
21,3,533.789978,2190.915527,-1267.855591,-162.565628,1719.970703,-579.980530,20.001301,-38.400009
21,5,441.630005,2334.932617,-971.692688,-166.639603,1719.970703,-579.980530,20.001301,-38.400009
21,6,435.559998,2237.448975,-1085.829590,-164.074310,1719.970703,-579.980530,20.001301,-38.400009
21,7,407.329987,2135.041748,-120.688103,-119.313759,1719.970703,-579.980530,20.001301,-38.400009
21,8,401.769989,1370.840332,-1084.870117,-117.412132,1719.970703,-579.980530,20.001301,-38.400009
21,9,684.679993,1581.512695,435.859100,20.001301,1719.970703,-579.980530,20.001301,-38.400009
21,10,290.140015,1291.499878,-138.297836,20.001301,1719.970703,-579.980530,20.001301,-38.400009
21,11,285.190002,1214.629883,-243.252670,20.001301,1719.970703,-579.980530,20.001301,-38.400009
21,12,692.030029,726.169617,-634.250305,20.001301,1719.970703,-579.980530,20.001301,-38.400009
22,1,567.590027,2527.349854,-891.431274,-174.125916,1719.970703,-579.980530,20.001301,-38.400009
22,3,533.789978,2190.915527,-1267.855591,-162.565628,1719.970703,-579.980530,20.001301,-38.400009
22,5,441.630005,2334.932617,-971.692688,-166.639603,1719.970703,-579.980530,20.001301,-38.400009
22,6,435.559998,2237.448975,-1085.829590,-164.074310,1719.970703,-579.980530,20.001301,-38.400009
22,7,407.329987,2135.041748,-120.688103,-119.313759,1719.970703,-579.980530,20.001301,-38.400009
22,8,401.769989,1370.840332,-1084.870117,-117.412132,1719.970703,-579.980530,20.001301,-38.400009
22,9,684.679993,1581.512695,435.859100,20.001301,1719.970703,-579.980530,20.001301,-38.400009
22,10,290.140015,1291.499878,-138.297836,20.001301,1719.970703,-579.980530,20.001301,-38.400009
22,11,285.190002,1214.629883,-243.252670,20.001301,1719.970703,-579.980530,20.001301,-38.400009
22,12,692.030029,726.169617,-634.250305,20.001301,1719.970703,-579.980530,20.001301,-38.400009
23,1,567.590027,2527.349854,-891.431274,-174.125916,1719.970703,-579.980530,20.001301,-38.400009
23,3,533.789978,2190.915527,-1267.855591,-162.565628,1719.970703,-579.980530,20.001301,-38.400009
23,5,441.630005,2334.932617,-971.692688,-166.639603,1719.970703,-579.980530,20.001301,-38.400009
23,6,435.559998,2237.448975,-1085.829590,-164.074310,1719.970703,-579.980530,20.001301,-38.400009
23,7,407.329987,2135.041748,-120.688103,-119.313759,1719.970703,-579.980530,20.001301,-38.400009
23,8,401.769989,1370.840332,-1084.870117,-117.412132,1719.970703,-579.980530,20.001301,-38.400009
23,9,684.679993,1581.512695,435.859100,20.001301,1719.970703,-579.980530,20.001301,-38.400009
23,10,290.140015,1291.499878,-138.297836,20.001301,1719.970703,-579.980530,20.001301,-38.400009
23,11,285.190002,1214.629883,-243.252670,20.001301,1719.970703,-579.980530,20.001301,-38.400009
23,12,692.030029,726.169617,-634.250305,20.001301,1719.970703,-579.980530,20.001301,-38.400009
24,1,567.590027,2527.349854,-891.431274,-174.125916,1719.970703,-579.980530,20.001301,-38.400009
24,3,533.789978,2190.915527,-1267.855591,-162.565628,1719.970703,-579.980530,20.001301,-38.400009
24,5,441.630005,2334.932617,-971.692688,-166.639603,1719.970703,-579.980530,20.001301,-38.400009
24,6,435.559998,2237.448975,-1085.829590,-164.074310,1719.970703,-579.980530,20.001301,-38.400009
24,7,407.329987,2135.041748,-120.688103,-119.313759,1719.970703,-579.980530,20.001301,-38.400009
24,8,401.769989,1370.840332,-1084.870117,-117.412132,1719.970703,-579.980530,20.001301,-38.400009
24,9,684.679993,1581.512695,435.859100,20.001301,1719.970703,-579.980530,20.001301,-38.400009
24,10,290.140015,1291.499878,-138.297836,20.001301,1719.970703,-579.980530,20.001301,-38.400009
24,11,285.190002,1214.629883,-243.252670,20.001301,1719.970703,-579.980530,20.001301,-38.400009
