step_idx	elapsed_s	status	rover_x_cm	rover_y_cm	rover_z_cm	rover_heading_deg	goal_dist_cm	next_waypoint_dist_cm	next_waypoint_avg_cm	target_x_cm	target_y_cm	waypoint_idx	path_len	throttle_cmd	steering_cmd	telemetry_throttle	telemetry_steering	telemetry_speed	telemetry_brakes	telemetry_distance_traveled	new_obstacles	obstacle_total	rover_cell_x	rover_cell_y	target_cell_x	target_cell_y	viewer_scale_x	viewer_scale_y	closest_usable_lidar_cm	closest_raw_positive_lidar_cm	zero_lidar_sensor_count	usable_lidar_sensor_count
41	11.479	Running	260.010	1090.039	49.994	-102.300	5565.091	466.020	468.010	-93.544	786.437	54	632	50	-1.000	50.000	1.000	1.900	1	132.400	0	0	103	102	96	96	6.450	6.605	nan	211.150	0	0
42	11.737	Running	260.010	1090.039	49.994	-102.300	5565.091	466.020	467.963	-93.544	786.437	54	632	50	-1.000	50.000	1.000	1.900	1	132.400	0	0	103	102	96	96	6.450	6.605	nan	211.150	0	0
43	11.988	Running	260.010	1090.039	49.994	-102.300	5565.091	466.020	467.919	-93.544	786.437	54	632	50	-1.000	50.000	1.000	1.900	1	132.400	0	0	103	102	96	96	6.450	6.605	nan	211.150	0	0
44	12.241	Running	260.010	1090.039	49.994	-102.300	5565.091	466.020	467.877	-93.544	786.437	54	632	50	-1.000	50.000	1.000	1.900	1	132.400	0	0	103	102	96	96	6.450	6.605	nan	211.150	0	0
45	12.491	Running	260.010	1070.020	49.994	-104.300	5551.043	453.232	467.559	-93.544	786.437	53	631	50	-1.000	50.000	1.000	1.800	0	132.600	0	0	103	101	96	96	6.450	6.605	nan	220.870	0	0
46	12.775	Running	260.010	1070.020	49.994	-104.300	5551.043	453.232	467.254	-93.544	786.437	53	631	50	-1.000	50.000	1.000	1.800	0	132.600	0	0	103	101	96	96	6.450	6.605	nan	220.870	0	0
47	13.030	Running	260.010	1070.020	49.994	-104.300	5551.043	453.232	466.962	-93.544	786.437	53	631	50	-1.000	50.000	1.000	1.800	0	132.600	0	0	103	101	96	96	6.450	6.605	nan	220.870	0	0
48	13.285	Running	260.010	1070.020	49.994	-104.300	5551.043	453.232	466.682	-93.544	786.437	53	631	50	-1.000	50.000	1.000	1.800	0	132.600	0	0	103	101	96	96	6.450	6.605	nan	220.870	0	0
49	13.547	Running	250.000	1070.020	49.994	-104.900	5543.907	459.561	466.539	-103.553	776.427	54	630	50	-1.000	50.000	1.000	0.800	0	132.700	0	0	103	101	95	95	6.450	6.605	0.000	358.210	1	1
50	13.815	Running	250.000	1070.020	49.994	-104.900	5543.907	459.561	466.402	-103.553	776.427	54	630	50	-1.000	50.000	1.000	0.800	0	132.700	0	0	103	101	95	95	6.450	6.605	0.000	358.210	1	1
51	14.093	Running	250.000	1070.020	49.994	-104.900	5543.907	459.561	466.271	-103.553	776.427	54	630	50	-1.000	50.000	1.000	0.800	0	132.700	0	0	103	101	95	95	6.450	6.605	0.000	358.210	1	1
52	14.348	Running	250.000	1070.020	49.994	-104.900	5543.907	459.561	466.144	-103.553	776.427	54	630	50	-1.000	50.000	1.000	0.800	1	132.700	0	0	103	101	95	95	6.450	6.605	0.000	358.210	1	1
53	14.597	Running	239.990	1050.000	49.994	-106.800	5522.732	453.232	465.905	-113.563	766.417	53	627	50	-0.985	50.000	1.000	1.900	1	132.800	0	0	102	101	95	95	6.450	6.605	0.000	263.050	1	1
54	14.865	Running	239.990	1050.000	49.994	-106.800	5522.732	453.232	465.675	-113.563	766.417	53	627	50	-0.985	50.000	0.985	1.900	1	132.800	0	0	102	101	95	95	6.450	6.605	0.000	263.050	1	1
55	15.150	Running	239.990	1050.000	49.994	-106.800	5522.732	453.232	465.452	-113.563	766.417	53	627	50	-0.985	50.000	0.985	1.900	1	132.800	0	0	102	101	95	95	6.450	6.605	0.000	263.050	1	1
56	15.402	Running	239.990	1050.000	49.994	-106.800	5522.732	453.232	465.238	-113.563	766.417	53	627	50	-0.985	50.000	0.985	1.900	0	132.800	0	0	102	101	95	95	6.450	6.605	0.000	263.050	1	1
57	15.661	Running	229.980	1029.980	49.994	-108.500	5501.568	447.037	464.924	-123.573	756.408	52	625	50	-0.965	50.000	0.985	2.200	0	133.000	0	0	102	101	95	95	6.450	6.605	0.000	185.450	1	1
58	15.911	Running	229.980	1029.980	49.994	-108.500	5501.568	447.037	464.621	-123.573	756.408	52	625	50	-0.965	50.000	0.965	2.200	0	133.000	0	0	102	101	95	95	6.450	6.605	0.000	185.450	1	1
