step_idx	elapsed_s	status	rover_x_cm	rover_y_cm	rover_z_cm	rover_heading_deg	goal_dist_cm	next_waypoint_dist_cm	next_waypoint_avg_cm	target_x_cm	target_y_cm	waypoint_idx	path_len	throttle_cmd	steering_cmd	telemetry_throttle	telemetry_steering	telemetry_speed	telemetry_brakes	telemetry_distance_traveled	new_obstacles	obstacle_total	rover_cell_x	rover_cell_y	target_cell_x	target_cell_y	viewer_scale_x	viewer_scale_y	closest_usable_lidar_cm	closest_raw_positive_lidar_cm	zero_lidar_sensor_count	usable_lidar_sensor_count
43	14.225	Running	-410.010	1470.020	49.994	-117.600	5367.721	479.237	468.708	-763.563	1146.495	56	612	50	-0.570	50.000	0.570	8.800	0	3.800	0	2	101	98	94	92	6.450	6.605	0.000	186.830	1	1
44	14.589	Running	-470.020	1390.039	59.992	-121.700	5269.013	465.988	468.648	-823.573	1086.486	54	600	50	-0.504	50.000	0.570	10.500	0	4.800	0	2	100	97	92	90	6.450	6.605	0.000	228.180	1	1
45	14.943	Running	-470.020	1390.039	59.992	-121.700	5269.013	465.988	468.590	-823.573	1086.486	54	600	50	-0.504	50.000	0.504	10.500	1	4.800	0	2	100	97	92	90	6.450	6.605	0.000	228.180	1	1
46	15.356	Running	-470.020	1390.039	59.992	-121.700	5269.013	465.988	468.535	-823.573	1086.486	54	600	50	-0.504	50.000	0.504	10.500	1	4.800	0	2	100	97	92	90	6.450	6.605	0.000	228.180	1	1
47	15.733	Running	-539.990	1290.039	70.001	-126.300	5149.332	447.007	468.086	-893.544	1016.515	52	587	50	-0.456	50.000	0.504	12.000	0	6.000	0	2	98	95	91	89	6.450	6.605	0.000	252.200	1	1
48	16.063	Running	-539.990	1290.039	70.001	-126.300	5149.332	447.007	467.656	-893.544	1016.515	52	587	50	-0.456	50.000	0.456	12.000	0	6.000	0	2	98	95	91	89	6.450	6.605	0.000	252.200	1	1
49	16.426	Running	-539.990	1290.039	70.001	-126.300	5149.332	447.007	467.243	-893.544	1016.515	52	587	50	-0.456	50.000	0.456	12.000	0	6.000	0	2	98	95	91	89	6.450	6.605	0.000	252.200	1	1
50	16.777	Running	-600.000	1229.980	70.001	-129.100	5064.458	446.977	466.846	-953.553	956.505	52	577	50	-0.377	50.000	0.456	12.100	0	6.900	0	2	97	93	90	88	6.450	6.605	0.000	177.510	1	1
51	17.082	Running	-600.000	1229.980	70.001	-129.100	5064.458	446.977	466.464	-953.553	956.505	52	577	50	-0.377	50.000	0.377	12.100	0	6.900	0	2	97	93	90	88	6.450	6.605	0.000	177.510	1	1
52	17.420	Running	-600.000	1229.980	70.001	-129.100	5064.458	446.977	466.096	-953.553	956.505	52	577	50	-0.377	50.000	0.377	12.100	0	6.900	0	2	97	93	90	88	6.450	6.605	0.000	177.510	1	1
53	17.779	Running	-670.020	1150.000	79.999	-131.600	4958.612	440.953	465.630	-1023.573	886.486	51	565	50	-0.334	50.000	0.377	12.000	1	7.900	0	2	96	92	88	86	6.450	6.605	0.000	119.450	1	2
54	18.108	Running	-670.020	1150.000	79.999	-131.600	4958.612	440.953	465.182	-1023.573	886.486	51	565	50	-0.334	50.000	0.334	12.000	1	7.900	0	2	96	92	88	86	6.450	6.605	0.000	119.450	1	2
55	18.420	Running	-670.020	1150.000	79.999	-131.600	4958.612	440.953	464.749	-1023.573	886.486	51	565	50	-0.334	50.000	0.334	12.000	1	7.900	0	2	96	92	88	86	6.450	6.605	0.000	119.450	1	2
56	18.716	Running	-730.029	1090.039	89.996	-133.200	4873.811	440.982	464.332	-1083.583	826.476	52	556	50	-0.288	50.000	0.334	10.800	0	8.700	0	2	94	91	87	85	6.450	6.605	0.000	37.580	1	4
