step_idx	elapsed_s	sensor_idx	sensor_label	sensor_enabled	raw_cm	raw_is_zero	valid_range_gt0	valid_range_ge0	mask_hit	pitch_scale	planar_hit_cm	hit_world_z_cm	low_clearance_hit	chunk_name	chunk_hit_count	chunk_threshold_met	hit_dist_from_rover_cm	within_local_radius	usable_for_mark	placed	usable_reason	map_origin	sensor_local_x_cm	sensor_local_y_cm	sensor_yaw_deg	sensor_pitch_deg	sensor_world_x_cm	sensor_world_y_cm	sensor_cell_x	sensor_cell_y	hit_world_x_cm	hit_world_y_cm	hit_cell_x	hit_cell_y	center_hit_world_x_cm	center_hit_world_y_cm	center_hit_cell_x	center_hit_cell_y
4	1.803	5	front_left_frame_pitch_n25	0	423.240	0	1	1	0	0.906	383.586	-148.870	1	front	0	0	nan	0	0	0	sensor_disabled	center	325.000	75.000	0.000	-25.000	-192.752	1415.571	105	97	nan	nan	-1	-1	-267.342	1356.463	104	96
4	1.803	6	front_right_frame_pitch_n25	0	426.500	0	1	1	0	0.906	386.540	-150.248	1	front	0	0	nan	0	0	0	sensor_disabled	center	325.000	-75.000	0.000	-25.000	-342.749	1414.523	102	97	nan	nan	-1	-1	-267.321	1353.508	104	96
4	1.803	7	left_mid_frame_left_pitch_n20	0	405.550	0	1	1	0	0.940	381.092	-108.707	1	left	0	0	nan	0	0	0	sensor_disabled	center	40.000	235.000	90.000	-20.000	-34.746	1701.681	108	103	nan	nan	-1	-1	111.064	1742.699	111	104
4	1.803	8	right_mid_frame_right_pitch_n20	0	390.520	0	1	1	0	0.940	366.969	-103.567	1	right	0	0	nan	0	0	0	sensor_disabled	center	40.000	-235.000	-90.000	-20.000	-504.735	1698.399	99	103	nan	nan	-1	-1	-636.979	1737.477	96	103
4	1.803	9	rear_left_wheel_hub_back_yaw_p40	1	655.090	0	1	1	0	1.000	655.090	29.999	0	rear	0	0	nan	0	0	0	masked_non_contact	center	-215.000	270.000	140.000	0.000	-1.527	1956.919	109	108	nan	nan	-1	-1	147.551	2244.794	112	114
4	1.803	10	rear_left_frame_backward	1	316.580	0	1	1	0	1.000	316.580	29.999	0	rear	0	0	nan	0	0	0	masked_non_contact	center	-320.000	80.000	180.000	0.000	-192.255	2060.590	105	110	nan	nan	-1	-1	-272.230	2056.611	103	110
4	1.803	11	rear_right_frame_backward	1	312.450	0	1	1	0	1.000	312.450	29.999	0	rear	0	0	nan	0	0	0	masked_non_contact	center	-320.000	-50.000	180.000	0.000	-322.252	2059.682	102	110	nan	nan	-1	-1	-272.201	2052.481	103	110
4	1.803	12	rear_right_wheel_hub_back_yaw_n40	1	622.480	0	1	1	0	1.000	622.480	29.999	0	rear	0	0	nan	0	0	0	masked_non_contact	center	-215.000	-215.000	-140.000	0.000	-486.515	1953.533	99	108	nan	nan	-1	-1	-673.461	2214.081	95	113
4	1.803	13	front_left_frame_yaw_p20_pitch_n10	1	973.440	0	1	1	0	0.985	958.651	-139.037	1	front	0	0	nan	0	0	0	masked_non_contact	center	325.000	75.000	20.000	-10.000	-192.752	1415.571	105	97	nan	nan	-1	-1	64.139	841.512	110	86
4	1.803	14	front_right_frame_yaw_n20_pitch_n10	1	-1.000	0	0	0	0	0.985	nan	nan	0	front	0	0	nan	0	0	0	invalid_range	center	325.000	-75.000	-20.000	-10.000	-342.749	1414.523	102	97	nan	nan	-1	-1	nan	nan	-1	-1
4	1.803	15	front_left_wheel_hub_yaw_p15	1	859.830	0	1	1	0	1.000	859.830	29.999	0	front	0	0	nan	0	0	0	masked_non_contact	center	250.000	245.000	15.000	0.000	-23.280	1491.755	108	99	nan	nan	-1	-1	-41.686	911.081	108	87
4	1.803	16	front_right_wheel_hub_yaw_n15	1	755.560	0	1	1	0	1.000	755.560	29.999	0	front	0	0	nan	0	0	0	masked_non_contact	center	250.000	-245.000	-15.000	0.000	-513.268	1488.335	99	98	nan	nan	-1	-1	-460.473	1008.877	100	89
5	2.102	0	front_left_wheel_hub_yaw_p30	1	-1.000	0	0	0	0	1.000	nan	nan	0	front	0	0	nan	0	0	0	invalid_range	center	250.000	245.000	30.000	0.000	-23.280	1491.755	108	99	nan	nan	-1	-1	nan	nan	-1	-1
5	2.102	1	front_left_frame_yaw_p20_pitch_n20	0	526.960	0	1	1	0	0.940	495.180	-150.232	1	front	0	0	nan	0	0	0	sensor_disabled	center	325.000	75.000	20.000	-20.000	-192.752	1415.571	105	97	nan	nan	-1	-1	-97.413	1275.915	107	94
