elapsed_s,step_idx,rover_x_cm,rover_y_cm,rover_heading_deg,sensor_index,sensor_label,sensor_x_cm,sensor_y_cm,sensor_yaw_deg,distance_cm,is_obstacle
1.694,8,-5664.00,-10065.20,180.00,14,front_right_frame_yaw_n20_pitch_n10,325.00,-75.00,-20.00,-1.00,0
1.694,8,-5664.00,-10065.20,180.00,15,front_left_wheel_hub_yaw_p15,250.00,245.00,15.00,-1.00,0
1.694,8,-5664.00,-10065.20,180.00,16,front_right_wheel_hub_yaw_n15,250.00,-245.00,-15.00,1226.96,0
1.901,9,-5664.00,-10064.60,180.20,0,front_left_wheel_hub_yaw_p30,250.00,245.00,30.00,0.00,0
1.901,9,-5664.00,-10064.60,180.20,1,front_left_frame_yaw_p20_pitch_n20,325.00,75.00,20.00,605.26,0
1.901,9,-5664.00,-10064.60,180.20,2,front_center_frame_forward,325.00,0.00,0.00,-1.00,0
1.901,9,-5664.00,-10064.60,180.20,3,front_right_frame_yaw_n20_pitch_n20,325.00,-75.00,-20.00,646.17,0
1.901,9,-5664.00,-10064.60,180.20,4,front_right_wheel_hub_yaw_n30,250.00,-245.00,-30.00,301.26,1
1.901,9,-5664.00,-10064.60,180.20,5,front_left_frame_pitch_n25,325.00,75.00,0.00,487.82,1
1.901,9,-5664.00,-10064.60,180.20,6,front_right_frame_pitch_n25,325.00,-75.00,0.00,496.22,1
1.901,9,-5664.00,-10064.60,180.20,7,left_mid_frame_left_pitch_n20,40.00,235.00,90.00,395.07,1
1.901,9,-5664.00,-10064.60,180.20,8,right_mid_frame_right_pitch_n20,40.00,-235.00,-90.00,408.61,1
1.901,9,-5664.00,-10064.60,180.20,9,rear_left_wheel_hub_back_yaw_p40,-215.00,270.00,140.00,392.02,1
1.901,9,-5664.00,-10064.60,180.20,10,rear_left_frame_backward,-320.00,80.00,180.00,-1.00,0
1.901,9,-5664.00,-10064.60,180.20,11,rear_right_frame_backward,-320.00,-50.00,180.00,152.05,1
1.901,9,-5664.00,-10064.60,180.20,12,rear_right_wheel_hub_back_yaw_n40,-215.00,-215.00,-140.00,512.02,1
1.901,9,-5664.00,-10064.60,180.20,13,front_left_frame_yaw_p20_pitch_n10,325.00,75.00,20.00,-1.00,0
1.901,9,-5664.00,-10064.60,180.20,14,front_right_frame_yaw_n20_pitch_n10,325.00,-75.00,-20.00,-1.00,0
1.901,9,-5664.00,-10064.60,180.20,15,front_left_wheel_hub_yaw_p15,250.00,245.00,15.00,-1.00,0
1.901,9,-5664.00,-10064.60,180.20,16,front_right_wheel_hub_yaw_n15,250.00,-245.00,-15.00,1181.29,0
2.108,10,-5664.00,-10064.60,180.20,0,front_left_wheel_hub_yaw_p30,250.00,245.00,30.00,0.00,0
2.108,10,-5664.00,-10064.60,180.20,1,front_left_frame_yaw_p20_pitch_n20,325.00,75.00,20.00,605.26,0
2.108,10,-5664.00,-10064.60,180.20,2,front_center_frame_forward,325.00,0.00,0.00,-1.00,0
2.108,10,-5664.00,-10064.60,180.20,3,front_right_frame_yaw_n20_pitch_n20,325.00,-75.00,-20.00,646.17,0
2.108,10,-5664.00,-10064.60,180.20,4,front_right_wheel_hub_yaw_n30,250.00,-245.00,-30.00,301.26,1
2.108,10,-5664.00,-10064.60,180.20,5,front_left_frame_pitch_n25,325.00,75.00,0.00,487.82,1
2.108,10,-5664.00,-10064.60,180.20,6,front_right_frame_pitch_n25,325.00,-75.00,0.00,496.22,1
2.108,10,-5664.00,-10064.60,180.20,7,left_mid_frame_left_pitch_n20,40.00,235.00,90.00,395.07,1
2.108,10,-5664.00,-10064.60,180.20,8,right_mid_frame_right_pitch_n20,40.00,-235.00,-90.00,408.61,1
2.108,10,-5664.00,-10064.60,180.20,9,rear_left_wheel_hub_back_yaw_p40,-215.00,270.00,140.00,392.02,1
2.108,10,-5664.00,-10064.60,180.20,10,rear_left_frame_backward,-320.00,80.00,180.00,-1.00,0
2.108,10,-5664.00,-10064.60,180.20,11,rear_right_frame_backward,-320.00,-50.00,180.00,152.05,1
2.108,10,-5664.00,-10064.60,180.20,12,rear_right_wheel_hub_back_yaw_n40,-215.00,-215.00,-140.00,512.02,1
2.108,10,-5664.00,-10064.60,180.20,13,front_left_frame_yaw_p20_pitch_n10,325.00,75.00,20.00,-1.00,0
2.108,10,-5664.00,-10064.60,180.20,14,front_right_frame_yaw_n20_pitch_n10,325.00,-75.00,-20.00,-1.00,0
2.108,10,-5664.00,-10064.60,180.20,15,front_left_wheel_hub_yaw_p15,250.00,245.00,15.00,-1.00,0
2.108,10,-5664.00,-10064.60,180.20,16,front_right_wheel_hub_yaw_n15,250.00,-245.00,-15.00,1181.29,0
2.325,11,-5664.00,-10064.60,180.20,0,front_left_wheel_hub_yaw_p30,250.00,245.00,30.00,0.00,0
2.325,11,-5664.00,-10064.60,180.20,1,front_left_frame_yaw_p20_pitch_n20,325.00,75.00,20.00,605.26,0
2.325,11,-5664.00,-10064.60,180.20,2,front_center_frame_forward,325.00,0.00,0.00,-1.00,0
2.325,11,-5664.00,-10064.60,180.20,3,front_right_frame_yaw_n20_pitch_n20,325.00,-75.00,-20.00,646.17,0
2.325,11,-5664.00,-10064.60,180.20,4,front_right_wheel_hub_yaw_n30,250.00,-245.00,-30.00,301.26,1
2.325,11,-5664.00,-10064.60,180.20,5,front_left_frame_pitch_n25,325.00,75.00,0.00,487.82,1
2.325,11,-5664.00,-10064.60,180.20,6,front_right_frame_pitch_n25,325.00,-75.00,0.00,496.22,1
2.325,11,-5664.00,-10064.60,180.20,7,left_mid_frame_left_pitch_n20,40.00,235.00,90.00,395.07,1
2.325,11,-5664.00,-10064.60,180.20,8,right_mid_frame_right_pitch_n20,40.00,-235.00,-90.00,408.61,1
2.325,11,-5664.00,-10064.60,180.20,9,rear_left_wheel_hub_back_yaw_p40,-215.00,270.00,140.00,392.02,1
2.325,11,-5664.00,-10064.60,180.20,10,rear_left_frame_backward,-320.00,80.00,180.00,-1.00,0
2.325,11,-5664.00,-10064.60,180.20,11,rear_right_frame_backward,-320.00,-50.00,180.00,152.05,1
2.325,11,-5664.00,-10064.60,180.20,12,rear_right_wheel_hub_back_yaw_n40,-215.00,-215.00,-140.00,512.02,1
2.325,11,-5664.00,-10064.60,180.20,13,front_left_frame_yaw_p20_pitch_n10,325.00,75.00,20.00,-1.00,0
2.325,11,-5664.00,-10064.60,180.20,14,front_right_frame_yaw_n20_pitch_n10,325.00,-75.00,-20.00,-1.00,0
2.325,11,-5664.00,-10064.60,180.20,15,front_left_wheel_hub_yaw_p15,250.00,245.00,15.00,-1.00,0
2.325,11,-5664.00,-10064.60,180.20,16,front_right_wheel_hub_yaw_n15,250.00,-245.00,-15.00,1181.29,0
2.530,12,-5664.00,-10064.60,180.20,0,front_left_wheel_hub_yaw_p30,250.00,245.00,30.00,0.00,0
2.530,12,-5664.00,-10064.60,180.20,1,front_left_frame_yaw_p20_pitch_n20,325.00,75.00,20.00,605.26,0
2.530,12,-5664.00,-10064.60,180.20,2,front_center_frame_forward,325.00,0.00,0.00,-1.00,0
2.530,12,-5664.00,-10064.60,180.20,3,front_right_frame_yaw_n20_pitch_n20,325.00,-75.00,-20.00,646.17,0
2.530,12,-5664.00,-10064.60,180.20,4,front_right_wheel_hub_yaw_n30,250.00,-245.00,-30.00,301.26,1
2.530,12,-5664.00,-10064.60,180.20,5,front_left_frame_pitch_n25,325.00,75.00,0.00,487.82,1
2.530,12,-5664.00,-10064.60,180.20,6,front_right_frame_pitch_n25,325.00,-75.00,0.00,496.22,1
2.530,12,-5664.00,-10064.60,180.20,7,left_mid_frame_left_pitch_n20,40.00,235.00,90.00,395.07,1
2.530,12,-5664.00,-10064.60,180.20,8,right_mid_frame_right_pitch_n20,40.00,-235.00,-90.00,408.61,1
2.530,12,-5664.00,-10064.60,180.20,9,rear_left_wheel_hub_back_yaw_p40,-215.00,270.00,140.00,392.02,1
2.530,12,-5664.00,-10064.60,180.20,10,rear_left_frame_backward,-320.00,80.00,180.00,-1.00,0
2.530,12,-5664.00,-10064.60,180.20,11,rear_right_frame_backward,-320.00,-50.00,180.00,152.05,1
2.530,12,-5664.00,-10064.60,180.20,12,rear_right_wheel_hub_back_yaw_n40,-215.00,-215.00,-140.00,512.02,1
2.530,12,-5664.00,-10064.60,180.20,13,front_left_frame_yaw_p20_pitch_n10,325.00,75.00,20.00,-1.00,0
2.530,12,-5664.00,-10064.60,180.20,14,front_right_frame_yaw_n20_pitch_n10,325.00,-75.00,-20.00,-1.00,0
2.530,12,-5664.00,-10064.60,180.20,15,front_left_wheel_hub_yaw_p15,250.00,245.00,15.00,-1.00,0
2.530,12,-5664.00,-10064.60,180.20,16,front_right_wheel_hub_yaw_n15,250.00,-245.00,-15.00,1181.29,0
2.747,13,-5664.00,-10064.00,180.50,0,front_left_wheel_hub_yaw_p30,250.00,245.00,30.00,0.00,0
