sample_idx,sensor_idx,distance_cm,x_cm,y_cm,z_cm
4,12,602.510010,-335.450562,1664.547729,49.993999
4,15,906.500000,917.151245,-23.437201,49.993999
5,1,596.280029,678.443115,228.554901,-153.945786
5,3,649.000000,135.386597,128.531693,-171.977066
5,5,486.750000,479.385132,294.829773,-155.715439
5,6,490.440002,330.427338,276.864044,-157.274902
5,7,409.519989,950.748535,1070.674805,-90.070084
5,8,409.959991,-283.392426,949.666443,-90.220573
5,9,681.880005,962.951416,1852.949463,49.993999
5,10,252.389999,353.743317,1627.464722,49.993999
5,11,247.130005,224.877029,1609.544067,49.993999
5,12,602.510010,-335.450562,1664.547729,49.993999
5,15,906.500000,917.151245,-23.437201,49.993999
6,1,596.280029,678.443115,228.554901,-153.945786
6,3,649.000000,135.386597,128.531693,-171.977066
6,5,486.750000,479.385132,294.829773,-155.715439
6,6,490.440002,330.427338,276.864044,-157.274902
6,7,409.519989,950.748535,1070.674805,-90.070084
6,8,409.959991,-283.392426,949.666443,-90.220573
6,9,681.880005,962.951416,1852.949463,49.993999
6,10,252.389999,353.743317,1627.464722,49.993999
6,11,247.130005,224.877029,1609.544067,49.993999
6,12,602.510010,-335.450562,1664.547729,49.993999
6,15,906.500000,917.151245,-23.437201,49.993999
7,1,596.280029,678.443115,228.554901,-153.945786
7,3,649.000000,135.386597,128.531693,-171.977066
7,5,486.750000,479.385132,294.829773,-155.715439
7,6,490.440002,330.427338,276.864044,-157.274902
7,7,409.519989,950.748535,1070.674805,-90.070084
7,8,409.959991,-283.392426,949.666443,-90.220573
7,9,681.880005,962.951416,1852.949463,49.993999
7,10,252.389999,353.743317,1627.464722,49.993999
7,11,247.130005,224.877029,1609.544067,49.993999
7,12,602.510010,-335.450562,1664.547729,49.993999
7,15,906.500000,917.151245,-23.437201,49.993999
8,1,596.280029,678.443115,228.554901,-153.945786
8,3,649.000000,135.386597,128.531693,-171.977066
8,5,486.750000,479.385132,294.829773,-155.715439
8,6,490.440002,330.427338,276.864044,-157.274902
8,7,409.519989,950.748535,1070.674805,-90.070084
8,8,409.959991,-283.392426,949.666443,-90.220573
8,9,681.880005,962.951416,1852.949463,49.993999
8,10,252.389999,353.743317,1627.464722,49.993999
8,11,247.130005,224.877029,1609.544067,49.993999
8,12,602.510010,-335.450562,1664.547729,49.993999
8,15,906.500000,917.151245,-23.437201,49.993999
9,1,596.280029,678.443115,228.554901,-153.945786
9,3,649.000000,135.386597,128.531693,-171.977066
9,5,486.750000,479.385132,294.829773,-155.715439
9,6,490.440002,330.427338,276.864044,-157.274902
9,7,409.519989,950.748535,1070.674805,-90.070084
9,8,409.959991,-283.392426,949.666443,-90.220573
9,9,681.880005,962.951416,1852.949463,49.993999
9,10,252.389999,353.743317,1627.464722,49.993999
9,11,247.130005,224.877029,1609.544067,49.993999
9,12,602.510010,-335.450562,1664.547729,49.993999
9,15,906.500000,917.151245,-23.437201,49.993999
10,1,596.280029,678.443115,228.554901,-153.945786
10,3,649.000000,135.386597,128.531693,-171.977066
10,5,486.750000,479.385132,294.829773,-155.715439
10,6,490.440002,330.427338,276.864044,-157.274902
10,7,409.519989,950.748535,1070.674805,-90.070084
10,8,409.959991,-283.392426,949.666443,-90.220573
10,9,681.880005,962.951416,1852.949463,49.993999
10,10,252.389999,353.743317,1627.464722,49.993999
10,11,247.130005,224.877029,1609.544067,49.993999
10,12,602.510010,-335.450562,1664.547729,49.993999
10,15,906.500000,917.151245,-23.437201,49.993999
11,1,596.280029,678.443115,228.554901,-153.945786
11,3,649.000000,135.386597,128.531693,-171.977066
11,5,486.750000,479.385132,294.829773,-155.715439
11,6,490.440002,330.427338,276.864044,-157.274902
11,7,409.519989,950.748535,1070.674805,-90.070084
11,8,409.959991,-283.392426,949.666443,-90.220573
11,9,681.880005,962.951416,1852.949463,49.993999
11,10,252.389999,353.743317,1627.464722,49.993999
11,11,247.130005,224.877029,1609.544067,49.993999
11,12,602.510010,-335.450562,1664.547729,49.993999
11,15,906.500000,917.151245,-23.437201,49.993999
12,1,596.280029,678.443115,228.554901,-153.945786
12,3,649.000000,135.386597,128.531693,-171.977066
12,5,486.750000,479.385132,294.829773,-155.715439
12,6,490.440002,330.427338,276.864044,-157.274902
12,7,409.519989,950.748535,1070.674805,-90.070084
12,8,409.959991,-283.392426,949.666443,-90.220573
12,9,681.880005,962.951416,1852.949463,49.993999
12,10,252.389999,353.743317,1627.464722,49.993999
12,11,247.130005,224.877029,1609.544067,49.993999
