sim_time_s,pose_x_cm,pose_y_cm,pose_z_cm,yaw_deg,throttle_cmd,steer_cmd,speed_cm_s,near_rocks,near_bumps,near_craters,rock_attempts,rock_success,bump_attempts,bump_success,crater_attempts,crater_success,placed_rocks,placed_bumps,placed_craters,refresh_count,refresh_skipped_distance_gate,refresh_force,refresh_center_x_cm,refresh_center_y_cm,refresh_yaw_deg,refresh_rocks_near_before,refresh_bumps_near_before,refresh_craters_near_before,refresh_rocks_added,refresh_bumps_added,refresh_craters_added
26.541656049998426,2657.904296875,-5517.732421875,346.5014343261719,40.89712677238627,0.0,0.0,22.896863520145416,11,2,2,33,14,106,62,15,4,14,2,4,68,1,0,2657.9041847269755,-5517.732284924625,40.89712677238627,0,0,0,0,0,0
26.749989299998408,2661.5869140625,-5514.39892578125,346.34661865234375,40.94831173598816,0.0,0.0,23.698019981384277,11,2,2,33,14,106,62,15,4,14,2,4,68,1,0,2661.5869893050863,-5514.398687720661,40.94831173598816,0,0,0,0,0,0
26.95832254999839,2665.290771484375,-5511.0498046875,346.1658630371094,40.99324354889036,0.0,0.0,23.275546729564667,11,2,2,33,14,106,62,15,4,14,2,4,68,1,0,2665.2907782204875,-5511.04973370259,40.99324354889036,0,0,0,0,0,0
27.208322449998366,2669.572998046875,-5507.10009765625,346.1289367675781,41.04510717455835,0.0,0.0,22.681978344917297,11,2,2,33,14,106,62,15,4,14,2,4,68,1,0,2669.572992799629,-5507.100048740158,41.04510717455835,0,0,0,0,0,0
27.37498904999835,2672.3662109375,-5504.51611328125,346.06610107421875,41.080895496439744,0.0,0.0,22.298721969127655,11,2,2,33,14,106,62,15,4,14,2,4,68,1,0,2672.366259692986,-5504.516296274866,41.080895496439744,0,0,0,0,0,0
27.49998899999834,2674.434814453125,-5502.58837890625,346.0074768066406,41.10781479977636,0.0,0.0,22.352492809295654,11,2,2,33,14,106,62,15,4,14,2,4,68,1,0,2674.4348106707052,-5502.58854201909,41.10781479977636,0,0,0,0,0,0
27.70832224999832,2677.95361328125,-5499.31982421875,345.905517578125,41.14022856956069,0.0,0.0,23.130103945732117,11,2,2,33,14,106,62,15,4,14,2,4,68,1,0,2677.953713148795,-5499.31966804716,41.14022856956069,0,0,0,0,0,0
27.916655499998303,2681.4931640625,-5495.99560546875,345.82452392578125,41.169515068959385,0.0,0.0,22.315862774848938,10,2,2,33,14,106,62,15,4,14,2,4,68,1,0,2681.4930480876615,-5495.995586514659,41.169515068959385,0,0,0,0,0,0
28.124988749998284,2684.842041015625,-5492.9443359375,345.812255859375,41.20136163193108,0.0,0.0,20.69242149591446,10,2,2,33,14,106,62,15,4,14,2,4,68,1,0,2684.841999619106,-5492.9441232551535,41.20136163193108,0,0,0,0,0,0
28.208322049998277,2686.129638671875,-5491.779296875,345.80206298828125,41.21362461892498,0.0,0.0,20.346422493457794,10,2,2,33,14,106,62,15,4,14,2,4,68,1,0,2686.1296520948918,-5491.779319945895,41.21362461892498,0,0,0,0,0,0
28.416655299998258,2689.2685546875,-5488.8857421875,345.7242431640625,41.24318061803499,0.0,0.0,20.225870609283447,10,2,2,33,14,106,62,15,4,14,2,4,68,1,0,2689.268516272715,-5488.885511813928,41.24318061803499,0,0,0,0,0,0
28.62498854999824,2692.405517578125,-5485.9541015625,345.6551513671875,41.269964525947906,0.0,0.0,20.4075425863266,10,2,2,33,14,106,62,15,4,14,2,4,68,1,0,2692.405397762131,-5485.954279805715,41.269964525947906,0,0,0,0,0,0
28.83332179999822,2695.587890625,-5482.984375,345.5721130371094,41.29661561578579,0.0,0.0,20.891794562339783,10,2,2,33,14,106,62,15,4,14,2,4,68,1,0,2695.587793283591,-5482.984185328525,41.29661561578579,0,0,0,0,0,0
29.0416550499982,2698.71875,-5480.0234375,345.5699462890625,41.3221259020619,0.0,0.0,19.917528331279755,10,2,2,33,14,106,62,15,4,14,2,4,68,1,0,2698.7188510597325,-5480.023620004473,41.3221259020619,0,0,0,0,0,0
29.249988299998183,2701.634521484375,-5477.2998046875,345.6213684082031,41.34624221900181,0.0,0.0,18.25815439224243,10,2,2,33,14,106,62,15,4,14,2,4,68,1,0,2701.634612002382,-5477.299768965502,41.34624221900181,0,0,0,0,0,0
29.458321549998164,2704.424072265625,-5474.71728515625,345.5536193847656,41.369079073431585,0.0,0.0,18.222512304782867,10,2,2,33,14,106,62,15,4,14,2,4,68,1,0,2704.42397964177,-5474.717086977712,41.369079073431585,0,0,0,0,0,0
29.666654799998145,2707.3125,-5472.06201171875,345.4306945800781,41.389277640251265,0.0,0.0,19.077283143997192,10,2,2,33,14,106,62,15,4,14,2,4,68,1,0,2707.312561839334,-5472.062016346576,41.389277640251265,0,0,0,0,0,0
