timestep,x_cm,y_cm,z_cm,yaw_deg,basis_xx,basis_xy,basis_xz,basis_yx,basis_yy,basis_yz,basis_zx,basis_zy,basis_zz,teleport_flag
73,-2780.029300,-8150.000100,9.991600,-101.900009,-0.206204,0.978509,0.000000,-0.978509,-0.206204,0.000000,0.000000,0.000000,1.000000,0
74,-2780.029300,-8150.000100,9.991600,-101.900009,-0.206204,0.978509,0.000000,-0.978509,-0.206204,0.000000,0.000000,0.000000,1.000000,0
75,-2780.029300,-8129.980500,9.991600,-103.300003,-0.230050,0.973179,0.000000,-0.973179,-0.230050,0.000000,0.000000,0.000000,1.000000,0
76,-2780.029300,-8129.980500,9.991600,-103.300003,-0.230050,0.973179,0.000000,-0.973179,-0.230050,0.000000,0.000000,0.000000,1.000000,0
77,-2780.029300,-8129.980500,9.991600,-103.300003,-0.230050,0.973179,0.000000,-0.973179,-0.230050,0.000000,0.000000,0.000000,1.000000,0
78,-2780.029300,-8120.019600,9.991600,-104.699997,-0.253758,0.967268,0.000000,-0.967268,-0.253758,0.000000,0.000000,0.000000,1.000000,0
79,-2780.029300,-8120.019600,9.991600,-104.699997,-0.253758,0.967268,0.000000,-0.967268,-0.253758,0.000000,0.000000,0.000000,1.000000,0
80,-2780.029300,-8120.019600,9.991600,-104.699997,-0.253758,0.967268,0.000000,-0.967268,-0.253758,0.000000,0.000000,0.000000,1.000000,0
81,-2780.029300,-8120.019600,9.991600,-104.699997,-0.253758,0.967268,0.000000,-0.967268,-0.253758,0.000000,0.000000,0.000000,1.000000,0
82,-2780.029300,-8109.961000,9.991600,-106.699997,-0.287360,0.957823,0.000000,-0.957823,-0.287360,0.000000,0.000000,0.000000,1.000000,0
83,-2780.029300,-8109.961000,9.991600,-106.699997,-0.287360,0.957823,0.000000,-0.957823,-0.287360,0.000000,0.000000,0.000000,1.000000,0
84,-2780.029300,-8109.961000,9.991600,-106.699997,-0.287360,0.957823,0.000000,-0.957823,-0.287360,0.000000,0.000000,0.000000,1.000000,0
85,-2780.029300,-8089.941500,9.991600,-108.900009,-0.323918,0.946085,0.000000,-0.946085,-0.323918,0.000000,0.000000,0.000000,1.000000,0
86,-2780.029300,-8089.941500,9.991600,-108.900009,-0.323918,0.946085,0.000000,-0.946085,-0.323918,0.000000,0.000000,0.000000,1.000000,0
87,-2780.029300,-8089.941500,9.991600,-108.900009,-0.323918,0.946085,0.000000,-0.946085,-0.323918,0.000000,0.000000,0.000000,1.000000,0
88,-2780.029300,-8070.019600,9.991600,-111.699997,-0.369747,0.929133,0.000000,-0.929133,-0.369747,0.000000,0.000000,0.000000,1.000000,0
